epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.237,1.00958,25.5553,1.0276,0.99445,1,0.995,0.80343,0.11339,26.2023,0.17214,0.000406977,0.000406977,0.000406977
2,410.018,0.73558,4.93141,0.77012,0.9862,1,0.995,0.89012,0.09798,7.23988,0.16882,0.000660562,0.000660562,0.000660562
3,1017.56,0.84535,2.43984,0.93709,0.77215,0.72727,0.85106,0.60148,0.1526,3.77904,0.19022,0.000749147,0.000749147,0.000749147
4,1727.16,0.72329,1.84665,0.86629,0.99335,1,0.995,0.88327,0.09515,2.5774,0.16931,0.0005075,0.0005075,0.0005075
5,2334.76,0.72729,1.30298,0.91034,0.99444,1,0.995,0.85382,0.08788,3.17935,0.1632,0.00026,0.00026,0.00026
