epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6026,0.91178,3.44763,1.03798,0.66589,0.82952,0.79586,0.64694,0.39208,25.3893,0.6171,0.000406977,0.000406977,0.000406977
2,76.7752,0.61102,1.13932,0.91845,0.90105,0.74527,0.84223,0.68537,0.40183,3.90927,0.62738,0.000791027,0.000791027,0.000791027
3,116.262,0.60087,0.7913,0.91578,0.95485,0.90654,0.91492,0.75031,0.42911,2.26526,0.62882,0.00114208,0.00114208,0.00114208
4,146.909,0.59076,0.69276,0.89158,0.91092,0.93348,0.93521,0.78777,0.36374,23.7615,0.59933,0.0011015,0.0011015,0.0011015
5,182.782,0.5545,0.59011,0.88467,0.97064,0.9417,0.95134,0.80744,0.33523,2.87266,0.59962,0.001052,0.001052,0.001052
